State,Estimate,Sigma,Democrat,Republican
Arizona,0.4988,0.05,Ruben Gallego (D),Kari Lake (R)
California,0.5901,0.05,Adam Schiff (D),Steve Garvey (R)
Connecticut,0.5926,0.05,Chris Murphey* (D),Matthew Corey (R)
Delaware,0.5653,0.05,Lisa Blunt Rochester (D),Eric Hansen (R)
Florida,0.4506,0.05,Debbie Mucarsel-Powell (D),Rick Scott* (R)
Hawaii,0.6354,0.05,Mazie Hirono* (D),Bob McDermott (R)
Indiana,0.3624,0.05,Valerie McCray (D),Jim Banks (R)
Maine,0.5686,0.05,Angus King* (I),Demitroula Kouzounas (R)
Maryland,0.6017,0.05,Angela Alsobrooks (D),Larry Hogan (R)
Massachusetts,0.6151,0.05,Elizabeth Warren* (D),John Deaton (R)
Michigan,0.5122,0.05,Elissa Slotkin (D),Mike Rogers (R)
Minnesota,0.5712,0.05,Amy Klobuchar* (D),Royce White (R)
Mississippi,0.3353,0.05,Ty Pinkins (D),Roger Wicker* (R)
Missouri,0.403,0.05,Lucas Kunce (D),Johs Hawley* (R)
Montana,0.4688,0.05,Jon Tester* (D),Tim Sheehy (R)
Nebraska,0.3886,0.05,Dan Osborn (I),Deb Fischer* (R)
Nevada,0.4948,0.05,Jacky Rosen* (D),Sam Brown (R)
New Jersey,0.5523,0.05,Andy Kim (D),Curtis Bashaw (R)
New Mexico,0.5443,0.05,Martin Heinrich* (D),Nella Domenici (R)
New York,0.6066,0.05,Kirsten Gillibrand* (D),Mike Sapraicone (R)
North Dakota,0.3425,0.05,Katrina Christiansen (D),Kevin Cramer* (R)
Ohio,0.4873,0.05,Sherrod Brown* (D),Bernie Moreno (R)
Pennsylvania,0.4995,0.05,Bob Casey* (D),David McCormick (R)
Rhode Island,0.5908,0.05,Sheldon Whitehouse* (D),Patricia Morgan (R)
Tennessee,0.3642,0.05,Gloria Johnson (D),Marsha Blackburn* (R)
Texas,0.4379,0.05,Colin Allred (D),Ted Cruz* (R)
Utah,0.3623,0.05,Caroline Gleich (D),John Curtis (R)
Vermont,0.6539,0.05,Bernie Sanders* (I),Gerlad Malloy (R)
Virginia,0.534,0.05,Tim Kaine* (D),Hung Cao (R)
Washington,0.5805,0.05,Maria Cantwell* (D),Raul Garcia (R)
West Virginia,0.3035,0.05,Glenn Elliott (D),Jim Justice (R)
Wisconsin,0.4908,0.05,Tammy Baldwin* (D),Eric Hovde (R)
Wyoming,0.249,0.05,Scott Morrow (D),John Barrasso* (R)
Nebraska Special,0.3444,0.05,Preston Love Jr. (D),Pete Ricketts* (R)
